| ru_number  |ru_parent  |ru_name |ru_abbrv  |ru_type|rut_name|ru_fip|ru_precincts|ru_reg_voters|st_postal|
|  1|  0|District of Columbia|DC|S  |State   |00000 | 142|   351985|DC   |
|  1|  0|Vermont |VT|S  |State   |00000 | 260|   503482|VT   |
|  1|  0|New Hampshire   |NH|S  |State   |00000 | 301|   877047|NH   |
|  1|  0|Hawaii  |HI|S  |State   |00000 | 353|   915600|HI   |
|  1|  0|Delaware|DE|S  |State   |00000 | 435|   554194|DE   |
|  1|  0|Alaska  |AK|S  |State   |00000 | 439|   469042|AK   |
|  1|  0|Wyoming |WY|S  |State   |00000 | 482|   274083|WY   |
|  1|  0|North Dakota|ND|S  |State   |00000 | 607|   482301|ND   |
|  1|  0|Rhode Island|RI|S  |State   |00000 | 616|   668232|RI   |
|  1|  0|Maine   |ME|S  |State   |00000 | 634|  1200498|ME   |
|  1|  0|Connecticut |CT|S  |State   |00000 | 759|  2128332|CT   |
|  1|  0|South Dakota|SD|S  |State   |00000 | 827|   503095|SD   |
|  1|  0|Montana |MT|S  |State   |00000 | 881|   655775|MT   |
|  1|  0|Idaho   |ID|S  |State   |00000 | 949|   824847|ID   |
|  1|  0|Oregon  |ORE   |S  |State   |00000 |1004|  2170636|OR   |
|  1|  0|New Mexico  |NM|S  |State   |00000 |1495|  1061525|NM   |
|  1|  0|Nebraska|NE|S  |State   |00000 |1717|  1169992|NE   |
|  1|  0|Maryland|MD|S  |State   |00000 |1787|  3105370|MD   |
|  1|  0|Nevada  |NV|S  |State   |00000 |1802|   963118|NV   |
|  1|  0|Utah|UT|S  |State   |00000 |1913|  1509425|UT   |
|  1|  0|West Virginia   |WV|S  |State   |00000 |1965|  1278694|WV   |
|  1|  0|South Carolina  |SC|S  |State   |00000 |2063|  2256745|SC   |
|  1|  0|Iowa|IA|S  |State   |00000 |2079|  1973867|IA   |
|  1|  0|Arizona |AZ|S  |State   |00000 |2108|  2992920|AZ   |
|  1|  0|Mississippi |MS|S  |State   |00000 |2131|  1922001|MS   |
|  1|  0|Massachusetts   |MA|S  |State   |00000 |2165|  4137257|MA   |
|  1|  0|Oklahoma|OK|S  |State   |00000 |2244|  2139717|OK   |
|  1|  0|Virginia|VA|S  |State   |00000 |2345|  4562032|VA   |
|  1|  0|Tennessee   |TN|S  |State   |00000 |2364|  3745972|TN   |
|  1|  0|Alabama |AL|S  |State   |00000 |2577|  2861090|AL   |
|  1|  0|Arkansas|AR|S  |State   |00000 |2599|  1403403|AR   |
|  1|  0|North Carolina  |NC|S  |State   |00000 |2769|  5480079|NC   |
|  1|  0|Colorado|CO|S  |State   |00000 |3086|  3106985|CO   |
|  1|  0|Georgia |GA|S  |State   |00000 |3146|  4379914|GA   |
|  1|  0|Kansas  |KS|S  |State   |00000 |3271|  1694818|KS   |
|  1|  0|Kentucky|KY|S  |State   |00000 |3482|  2818973|KY   |
|  1|  0|Wisconsin   |WI|S  |State   |00000 |3540|  2735661|WI   |
|  1|  0|Missouri|MO|S  |State   |00000 |3943|  4206423|MO   |
|  1|  0|Minnesota   |MN|S  |State   |00000 |4108|  3225135|MN   |
|  1|  0|Louisiana   |LA|S  |State   |00000 |4124|  2901565|LA   |
|  1|  0|Indiana |IND   |S  |State   |00000 |5424|  4323636|IN   |
|  1|  0|Michigan|MI|S  |State   |00000 |5806|  7166615|MI   |
|  1|  0|New Jersey  |NJ|S  |State   |00000 |6285|  5010993|NJ   |
|  1|  0|Washington  |WA|S  |State   |00000 |6686|  3660701|WA   |
|  1|  0|Florida |FL|S  |State   |00000 |7241| 10301259|FL   |
|  1|  0|Texas   |TX|S  |State   |00000 |8806| 11012038|TX   |
|  1|  0|Pennsylvania|PA|S  |State   |00000 |9425|  8933268|PA   |
|  1|  0|Ohio|OH|S  |State   |00000 |   11477|  8151098|OH   |
|  1|  0|Illinois|IL|S  |State   |00000 |   11740|  7656050|IL   |
|  1|  0|New York|NY|S  |State   |00000 |   16279| 13334784|NY   |
|  1|  0|California  |CA|S  |State   |00000 |   24035| 15723097|CA   |
|   1001|  1|Autauga |Autauga   |C  |County  |01001 |  22|30145|AL   |
|   1002|  1|Baldwin |Baldwin   |C  |County  |01003 |  50|98302|AL   |
|   1003|  1|Barbour |Barbour   |C  |County  |01005 |  24|17276|AL   |
