| ra_number  |of_number  |se_number  |race_id|office_id|ra_num_winners|rt_number  |rt_party_name|of_description  |ot_number  |ot_name |se_name |of_scope|race_order |el_date |ra_uncontested|ra_tabulate|st_postal|ra_national_b|
|  0|  0|  0|G  |P| 1|  7| |President   |  1|President   ||N   |100|20081104| 0|  1|US   |0|
|  0|   1000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|AL   |1|
|  0|   2000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|AK   |1|
|  0|   2090|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|NY   |1|
|  0|   3000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|AZ   |1|
|  0|   4000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|AR   |1|
|  0|   5231|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|CA   |1|
|  0|   6455|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|CO   |1|
|  0|   7000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|CT   |1|
|  0|   8067|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|DE   |1|
|  0|   9000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|DC   |1|
|  0|  10000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|FL   |1|
|  0|  11000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|GA   |1|
|  0|  12000|  0|G  |P| 1|  7| ||  1|President   ||S   |200|20081104| 0|  1|HI   |1|
|  0|  13146|  0|G  |P| 1|  7| ||  1|President   ||S   |239|20081104| 0|  1|ID   |1|
|  0|  14000|  0|G  |P| 1|  7| ||  1|President   ||S   |109|20081104| 0|  1|IL   |1|
|  0|  15000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|IN   |1|
|  0|  16000|  0|G  |P| 1|  7| ||  1|President   ||S   |109|20081104| 0|  1|IA   |1|
|  0|  17180|  0|G  |P| 1|  7| ||  1|President   ||S   |150|20081104| 0|  1|KS   |1|
|  0|  18000|  0|G  |P| 1|  7| ||  1|President   ||S   |160|20081104| 0|  1|KY   |1|
|  0|  19000|  0|G  |P| 1|  7| ||  1|President   ||S   |120|20081104| 0|  1|LA   |1|
|  0|  20000|  0|G  |P| 1|  7| ||  1|President   ||S   |120|20081104| 0|  1|WI   |1|
|  0|  20227|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|ME   |1|
|  0|  21389|  0|G  |P| 1|  7| ||  1|President   ||S   |140|20081104| 0|  1|MD   |1|
|  0|  22000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|MA   |1|
|  0|  23000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|MI   |1|
|  0|  24000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|MN   |1|
|  0|  25000|  0|G  |P| 1|  7| ||  1|President   ||S   |120|20081104| 0|  1|MS   |1|
|  0|  26000|  0|G  |P| 1|  7| ||  1|President   ||S   |180|20081104| 0|  1|MO   |1|
|  0|  27325|  0|G  |P| 1|  7| ||  1|President   ||S   |109|20081104| 0|  1|MT   |1|
|  0|  28000|  0|G  |P| 1|  7| ||  1|President   ||S   |160|20081104| 0|  1|NE   |1|
|  0|  29098|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|NV   |1|
|  0|  30000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|NH   |1|
|  0|  31000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|NJ   |1|
|  0|  32585|  0|G  |P| 1|  7| ||  1|President   ||S   |159|20081104| 0|  1|NM   |1|
|  0|  34193|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|NC   |1|
|  0|  35000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|ND   |1|
|  0|  36000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20081104| 0|  1|OH   |1|
