| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|  0|  0|   187088|  187338291|US   |
|  1|  0|  143| 283850|DC   |
|  1|  0|  260| 389190|VT   |
|  1|  0|  301| 845283|NH   |
|  1|  0|  338| 536266|HI   |
|  1|  0|  339| 468987|DE   |
|  1|  0|  438| 389760|AK   |
|  1|  0|  490| 242948|WY   |
|  1|  0|  528| 391030|ND   |
|  1|  0|  541| 523546|RI   |
|  1|  0|  613| 926348|ME   |
|  1|  0|  759|1973446|CT   |
|  1|  0|  799| 485268|SD   |
|  1|  0|  863| 563042|MT   |
|  1|  0|  954| 598376|ID   |
|  1|  0| 1000|2083721|OR   |
|  1|  0| 1498| 945380|NM   |
|  1|  0| 1708| 971568|NE   |
|  1|  0| 1829|2980246|MD   |
|  1|  0| 1873|1882267|IA   |
|  1|  0| 1887| 944842|WV   |
|  1|  0| 1887|1440181|MS   |
|  1|  0| 2015|1036983|NV   |
|  1|  0| 2168|3631700|MA   |
|  1|  0| 2231|1829697|OK   |
|  1|  0| 2239|2515731|AZ   |
|  1|  0| 2245|1159800|UT   |
|  1|  0| 2258|3043686|TN   |
|  1|  0| 2291|2022162|SC   |
|  1|  0| 2487|3991117|VA   |
|  1|  0| 2588|1265934|AR   |
|  1|  0| 2843|2259061|AL   |
|  1|  0| 2962|4376258|NC   |
|  1|  0| 3215|2662031|CO   |
|  1|  0| 3298|1484636|KS   |
|  1|  0| 3303|4114438|GA   |
|  1|  0| 3533|3414205|MO   |
|  1|  0| 3541|2244825|KY   |
|  1|  0| 3621|3742401|WI   |
|  1|  0| 3956|1943106|LA   |
|  1|  0| 4130|3532318|MN   |
|  1|  0| 5230|2961550|IN   |
|  1|  0| 5646|6049065|MI   |
|  1|  0| 6296|4515162|NJ   |
|  1|  0| 6719|2845164|WA   |
|  1|  0| 7005|9512262|FL   |
|  1|  0| 8466|9633426|TX   |
|  1|  0| 9284|7417313|PA   |
|  1|  0|11156|7034680|OH   |
|  1|  0|11585|6592737|IL   |
|  1|  0|16300|9238415|NY   |
|  1|  0|25429|   15526577|CA   |
|   1001|  0|   25|  25091|AL   |
|   1002|  0|   70|  86602|AL   |
|   1003|  0|   21|  13470|AL   |
|   1004|  0|   10|   9493|AL   |
|   1005|  0|   27|  26867|AL   |
|   1006|  0|   18|   5896|AL   |
|   1007|  0|   28|  10518|AL   |
|   1008|  0|   54|  56535|AL   |
|   1009|  0|   25|  16290|AL   |
|   1010|  0|   26|  11303|AL   |
|   1011|  0|   19|  20862|AL   |
|   1012|  0|   33|   9031|AL   |
|   1013|  0|   31|  14241|AL   |
|   1014|  0|   25|   8217|AL   |
|   1015|  0|   17|   7242|AL   |
|   1016|  0|   34|  22012|AL   |
|   1017|  0|   36|  29907|AL   |
|   1018|  0|   28|   7526|AL   |
|   1019|  0|   14|   6246|AL   |
|   1020|  0|   30|  18280|AL   |
