| polra_number|pol_first_name  |pol_middle_name |pol_last_name   |pol_abbrv   |pol_junior|polra_party|ra_number  |pol_nat_id |polra_in_order|pol_number |st_postal|
|   53088|George  |W.  |Bush|Bush|  |GOP|  0|   1769| 2| 11|WV   |
|2560|Bud ||Cramer  |Cramer  |Jr.   |Dem|   1376|   1170| 1|   1007|AL   |
|2563|Spencer ||Bachus  |Bachus  |  |GOP|   1377|526| 1|   1020|AL   |
|2556|Robert  ||Aderholt|Aderholt|  |GOP|   1011|523| 2|   1200|AL   |
|2555|Mike||Rogers  |Rogers  |  |GOP|   1375|   1161| 2|   1222|AL   |
|2554|Terry   ||Everett |Everett |  |GOP|   1374|520| 2|   1427|AL   |
|2565|George  |W.  |Bush|Bush|  |GOP|  0|   1769| 2|   1453|AL   |
|2578|Richard ||Shelby  |Shelby  |  |GOP|   1683|   1702| 2|   1456|AL   |
|2622|Bill||Fuller  |Fuller  |  |Dem|   1375|   3384| 1|   1582|AL   |
|1724|John|F.  |Kerry   |Kerry   |  |Dem|  0|   1724| 1|   1724|US   |
|1769|George  |W.  |Bush|Bush|  |GOP|  0|   1769| 2|   1769|US   |
|2576|Wayne   ||Sowell  |Sowell  |  |Dem|   1683|   4077| 1|   1966|AL   |
|5071|Don ||Young   |Young   |  |GOP|   2015|513| 2|   2007|AK   |
|2561|Artur   ||Davis   |Davis   |  |Dem|   1378|   1172| 1|   2193|AL   |
|2807|Ralph   ||Nader   |Nader   |  |Ind|  0|   3850| 4|   2221|AL   |
|2619|Judy||Belk|Belk|  |Dem|   1005|   1003| 1|   2230|AL   |
|2553|Jo  ||Bonner  |Bonner  |  |GOP|   1005|   1004| 2|   2234|AL   |
|5256|||Yes |Yes |  |Yes|   2935|  2| 1|   2307|AK   |
|5257|||No  |No  |  |No |   2935|  3| 2|   2308|AK   |
|2597|Steve   ||Cameron |Cameron |  |GOP|   1378|   3184| 2|   2405|AL   |
|2570|John|F.  |Kerry   |Kerry   |  |Dem|  0|   1724| 1|   2496|AL   |
|2594|Gerald  ||Wallace |Wallace |  |GOP|   1376|  50155| 2|   2504|AL   |
|2620|Chuck   ||James   |James   |  |Dem|   1374|  50321| 1|   2519|AL   |
|2623|Carl||Cole|Cole|  |Dem|   1011|  50160| 1|   2520|AL   |
|2804|Michael ||Badnarik|Badnarik|  |Ind|  0|   6438| 3|   2526|AL   |
|2808|Michael ||Peroutka|Peroutka|  |Ind|  0|   8113| 5|   2527|AL   |
|5126|Lisa||Murkowski   |Mrkwski |  |GOP|   2005|   1799| 2|   3428|AK   |
|3486|James   ||Harris  |Harris  |  |SWP|  0|   3486|12|   3486|US   |
|5235|George  |W.  |Bush|Bush|  |GOP|  0|   1769| 2|   3617|AK   |
| 366|John||McCain  |McCain  |  |GOP|   3002|   1701| 2|   3728|AZ   |
| 266|Ed  ||Pastor  |Pastor  |  |Dem|   3010|   1124| 1|   3736|AZ   |
| 361|Jim ||Kolbe   |Kolbe   |  |GOP|   3924|   1134| 2|   3747|AZ   |
|5124|Tony||Knowles |Knowles |  |Dem|   2005|   4381| 1|   3759|AK   |
|5129|Scott   ||Kohlhaas|Kohlhaas|  |Lib|   2005|  51352| 4|   3763|AK   |
|5130|Jim ||Sykes   |Sykes   |  |Grn|   2005|928| 7|   3764|AK   |
|5131|Jerry   ||Sanders |Sanders |  |AKI|   2005|   4453| 6|   3765|AK   |
|5133|Thomas  ||Higgins |Higgins |  |Dem|   2015|   4363| 1|   3767|AK   |
|5136|Alvin   ||Anders  |Anders  |  |Lib|   2015|   4267| 3|   3770|AK   |
|5137|Timothy ||Feller  |Feller  |  |Grn|   2015|  51354| 4|   3771|AK   |
|3850|Ralph   ||Nader   |Nader   |  |Ind|  0|   3850| 3|   3850|US   |
|5233|John|F.  |Kerry   |Kerry   |  |Dem|  0|   1724| 1|   3857|AK   |
|5236|Ralph   ||Nader   |Nader   |  |Pop|  0|   3850| 3|   3858|AK   |
|5237|Michael ||Badnarik|Badnarik|  |Lib|  0|   6438| 4|   3859|AK   |
|5239|David   ||Cobb|Cobb|  |Grn|  0|   6770| 5|   3860|AK   |
|5240|Michael ||Peroutka|Peroutka|  |AKI|  0|   8113| 6|   3861|AK   |
|5241|Ted ||Gianoutsos  |Gianotss|  |NP |   2005|  51351| 3|   3862|AK   |
|5242|Marc||Millican|Millican|  |NP |   2005|  51353| 5|   3863|AK   |
|7206|||Yes |Yes |  |Yes|   4032|  2| 1|   4005|AZ   |
|7207|||No  |No  |  |No |   4032|  3| 2|   4007|AZ   |
| 310|Trent   ||Franks  |Franks  |  |GOP|   3006|   1121| 2|   4042|AZ   |
| 380|John||Shadegg |Shadegg |  |GOP|   3008|   1122| 1|   4044|AZ   |
| 306|J.D.||Hayworth|Haywrth |  |GOP|   3012|   1127| 2|   4048|AZ   |
| 407|Raul||Grijalva|Grijalva|  |Dem|   3920|   1131| 1|   4343|AZ   |
| 393|Jeff||Flake   |Flake   |  |GOP|   3544|   1129| 1|   4467|AZ   |
| 394|Rick||Renzi   |Renzi   |  |GOP|   3004|   1118| 2|   4675|AZ   |
| 325|Stuart  ||Starky  |Starky  |  |Dem|   3002|   5455| 1|   4872|AZ   |
| 398|Paul||Babbitt |Babbitt |  |Dem|   3004|  50220| 1|   4874|AZ   |
| 425|Randy   ||Camacho |Camacho |  |Dem|   3006|   1120| 1|   4876|AZ   |
| 286|Ernest  ||Hancock |Hancock |  |Lib|   3002|   4924| 3|   4880|AZ   |
| 285|John||Crockett|Crockett|  |Lib|   3004|  51355| 3|   4881|AZ   |
| 287|Powell  ||Gammill |Gammill |  |Lib|   3006|  51356| 3|   4882|AZ   |
| 333|Mark||Yannone |Yannone |  |Lib|   3008|   1123| 2|   4884|AZ   |
| 336|Gary||Fallon  |Fallon  |  |Lib|   3010|   4816| 3|   4885|AZ   |
| 334|Don ||Karg|Karg|  |GOP|   3010|   5051| 2|   4886|AZ   |
| 359|Elizabeth   ||Rogers  |Rogers  |  |Dem|   3012|  50222| 1|   4888|AZ   |
| 278|Michael ||Kielsky |Kielsky |  |Lib|   3012|  51357| 3|   4889|AZ   |
| 289|Craig   ||Stritar |Stritar |  |Lib|   3544|  51358| 2|   4891|AZ   |
| 429|Dave||Kaplan  |Kaplan  |  |Lib|   3920|  51359| 3|   4893|AZ   |
| 290|Joseph  ||Sweeney |Sweeney |  |GOP|   3920|   5474| 2|   4895|AZ   |
| 419|Eva ||Bacal   |Bacal   |  |Dem|   3924|  50603| 1|   4896|AZ   |
| 277|Robert  ||Anderson|Andersn |  |Lib|   3924|   4534| 3|   4899|AZ   |
| 559|Dan ||Lungren |Lungren |  |GOP|   5693|   7721| 2|   5026|CA   |
| 297|Ted ||Brown   |Brown   |  |Lib|   5719| 91| 3|   5031|CA   |
| 541|Brad||Sherman |Sherman |  |Dem|   5717| 84| 1|   5036|CA   |
| 253|John|F.  |Kerry   |Kerry   |  |Dem|  0|   1724| 1|   5043|AZ   |
| 254|George  |W.  |Bush|Bush|  |GOP|  0|   1769| 2|   5044|AZ   |
| 252|Michael ||Badnarik|Badnarik|  |Lib|  0|   6438| 3|   5047|AZ   |
| 425|Wally   ||Herger  |Herger  |  |GOP|   5692|  5| 2|   5052|CA   |
| 450|Robert  ||Matsui  |Matsui  |  |Dem|   5695| 14| 1|   5054|CA   |
| 568|Nancy   ||Pelosi  |Pelosi  |  |Dem|   5698| 24| 1|   5060|CA   |
| 441|George  ||Miller  |Miller  |  |Dem|   5697| 21| 1|   5064|CA   |
| 580|Fortney |Pete|Stark   |Stark   |  |Dem|   5703| 38| 1|   5068|CA   |
| 488|Tom ||Lantos  |Lantos  |  |Dem|   5702| 35| 1|   5072|CA   |
| 464|John||Doolittle   |Doolittle   |  |GOP|   5694| 12| 2|   5082|CA   |
| 542|Bill||Thomas  |Thomas  |  |GOP|   5712| 70| 1|   5094|CA   |
| 432|Elton   ||Gallegly|Gallegly|  |GOP|   5714| 76| 2|   5097|CA   |
| 532|Henry   ||Waxman  |Waxman  |  |Dem|   5720| 92| 1|   5106|CA   |
| 443|Howard  ||Berman  |Berman  |  |Dem|   5718| 86| 1|   5112|CA   |
| 535|Bob ||Weber   |Weber   |  |Lib|   5723|   8746| 2|   5120|CA   |
| 472|Maxine  ||Waters  |Waters  |  |Dem|   5725|104| 1|   5122|CA   |
| 501|David   ||Dreier  |Dreier  |  |GOP|   5716| 82| 2|   5133|CA   |
| 564|Jerry   ||Lewis   |Lewis   |  |GOP|   5731|123| 1|   5138|CA   |
| 516|Christopher ||Cox |Cox |  |GOP|   5740|144| 2|   5152|CA   |
| 431|Dana||Rohrabacher |Rhrbchr |  |GOP|   5736|138| 2|   5157|CA   |
| 585|Randy   ||Cunningham  |Cnnngh  |  |GOP|   5742|149| 2|   5163|CA   |
| 583|Duncan  ||Hunter  |Hunter  |  |GOP|   7296|155| 2|   5166|CA   |
| 538|Mike||Thompson|Thompsn |  |Dem|   6478|   1115| 1|   5170|CA   |
| 575|Diane   ||Watson  |Watson  |  |Dem|   5723| 99| 1|   5203|CA   |
| 513|Ed  ||Royce   |Royce   |  |GOP|   5730|   1215| 2|   5208|CA   |
| 578|Barbara ||Lee |Lee |  |Dem|   5699| 28| 1|   5250|CA   |
| 484|Don ||Grundmann   |Grndmn  |  |AIP|   7861| 41| 5|   5253|CA   |
| 426|Sam ||Farr|Farr|  |Dem|   5707| 52| 1|   5286|CA   |
| 491|Jim ||Costa   |Costa   |  |Dem|   5710|   6818| 1|   5290|CA   |
| 503|Lucille ||Roybal-Allard   |Rybl-Al |  |Dem|   5724|102| 1|   5359|CA   |
| 434|Xavier  ||Becerra |Becerra |  |Dem|   5721| 94| 1|   5365|CA   |
|   14751|||Yes |Yes |  |Yes|   7849|  2| 1|   5540|CA   |
|   14763|||Yes |Yes |  |Yes|   7858|  2| 1|   5540|CA   |
|   14752|||No  |No  |  |No |   7849|  3| 2|   5541|CA   |
|   14764|||No  |No  |  |No |   7858|  3| 2|   5541|CA   |
|8572|Marion  ||Berry   |Berry   |  |Dem|   5104|   1190| 1|   5797|AR   |
|8573|Mike||Ross|Ross|  |Dem|   5107|   1194| 1|   6008|AR   |
|9498|Joel||Hefley  |Hefley  |  |GOP|   6617|749| 1|   6013|CO   |
|8724|Vic ||Snyder  |Snyder  |  |Dem|   5105|   1192| 1|   6027|AR   |
| 435|Jane||Harman  |Harman  |  |Dem|   5726|107| 1|   6052|CA   |
| 466|Lynn||Woolsey |Woolsey |  |Dem|   5696| 17| 1|   6101|CA   |
| 525|Richard ||Pombo   |Pombo   |  |GOP|   5701| 34| 2|   6167|CA   |
| 446|Anna||Eshoo   |Eshoo   |  |Dem|   5704| 43| 1|   6204|CA   |
|9869|||Yes |Yes |  |Yes|   7202|  2| 1|   6212|CO   |
| 550|George  ||Radanovich  |Radnvch |  |GOP|   5709|   1209| 2|   6312|CA   |
| 430|Ken ||Calvert |Calvert |  |GOP|   5734|132| 2|   6357|CA   |
|9835|Diana   ||DeGette |DeGette |  |Dem|   7191|734| 1|   6364|CO   |
| 58tCz1h |  |GOP|   5709|   1209| 2|   6312|CA   |
| 430|Ke" 1|   6364|CO   |
| 58tCz1h |  |GOP 2|   6312|CA   |
| 430|Ken ||Calvert |Calvert |  |GOP|  hoo   |Eshoo   |  |Dem|   5704| 43| 1|∑8tCz1h |  |GOP|   5709|   1209| 2|   6CA   |
|9835|Diana   ||DeGette |DeGette |  |Dem|Eshoo   |Eshoo   |  |Dem|   57  |GOP|   5709|   1209| 2|   6312|CA   |
| 430|Ken ||Calvere |DeGette |  |Dem|   7191|734| 1|   636|  |Dem|Eshoo   |09| 2|   6312|Cwf| 2|   6357|CA   |
