| ra_number  |of_number  |se_number  |race_id|office_id|ra_num_winners|rt_number  |rt_party_name|of_description  |ot_number  |ot_name |se_name |of_scope|race_order |el_date |ra_uncontested|ra_tabulate|st_postal|
|  0|  0|  0|G  |P| 1|  7| |President   |  1|President   ||N   |100|20041102| 0|  1|US   |
|  0|   1000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|AL   |
|  0|   2000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|AK   |
|  0|   2090|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|NY   |
|  0|   3000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|AZ   |
|  0|   4000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|AR   |
|  0|   5231|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|CA   |
|  0|   6455|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|CO   |
|  0|   7000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|CT   |
|  0|   8067|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|DE   |
|  0|   9000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|DC   |
|  0|  10000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|FL   |
|  0|  11000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|GA   |
|  0|  12000|  0|G  |P| 1|  7| ||  1|President   ||S   |160|20041102| 0|  1|HI   |
|  0|  13146|  0|G  |P| 1|  7| ||  1|President   ||S   |130|20041102| 0|  1|ID   |
|  0|  14000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|IL   |
|  0|  15000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|IN   |
|  0|  16000|  0|G  |P| 1|  7| ||  1|President   ||S   |   2420|20041102| 0|  1|IA   |
|  0|  17180|  0|G  |P| 1|  7| ||  1|President   ||S   |130|20041102| 0|  1|KS   |
|  0|  18000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|KY   |
|  0|  19000|  0|G  |P| 1|  7| ||  1|President   ||S   |130|20041102| 0|  1|LA   |
|  0|  20000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|WI   |
|  0|  20227|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|ME   |
|  0|  21389|  0|G  |P| 1|  7| ||  1|President   ||S   |129|20041102| 0|  1|MD   |
|  0|  22000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|MA   |
|  0|  23000|  0|G  |P| 1|  7| ||  1|President   ||S   |109|20041102| 0|  1|MI   |
|  0|  24000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|MN   |
|  0|  25000|  0|G  |P| 1|  7| ||  1|President   ||S   |120|20041102| 0|  1|MS   |
|  0|  26000|  0|G  |P| 1|  7| ||  1|President   ||S   |140|20041102| 0|  1|MO   |
|  0|  27000|  0|G  |P| 1|  7| ||  1|President   ||S   |180|20041102| 0|  1|MT   |
|  0|  28000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|NE   |
|  0|  29098|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|NV   |
|  0|  30000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|NH   |
|  0|  31000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|NJ   |
|  0|  32000|  0|G  |P| 1|  7| ||  1|President   ||S   |110|20041102| 0|  1|NM   |
