| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|  0|  0|   186716|  175485369|US   |
|  1|  0|  142| 351985|DC   |
|  1|  0|  142| 351985|DC   |
|  1|  0|  142| 351985|DC   |
|  1|  0|  260| 503482|VT   |
|  1|  0|  260| 503482|VT   |
|  1|  0|  260| 503482|VT   |
|  1|  0|  301| 877047|NH   |
|  1|  0|  301| 877047|NH   |
|  1|  0|  301| 877047|NH   |
|  1|  0|  353| 915600|HI   |
|  1|  0|  353| 915600|HI   |
|  1|  0|  353| 915600|HI   |
|  1|  0|  353| 915600|HI   |
|  1|  0|  435| 554194|DE   |
|  1|  0|  435| 554194|DE   |
|  1|  0|  435| 554194|DE   |
|  1|  0|  439| 469042|AK   |
|  1|  0|  439| 469042|AK   |
|  1|  0|  439| 469042|AK   |
|  1|  0|  482| 274083|WY   |
|  1|  0|  482| 274083|WY   |
|  1|  0|  482| 274083|WY   |
|  1|  0|  607| 482301|ND   |
|  1|  0|  607| 482301|ND   |
|  1|  0|  607| 482301|ND   |
|  1|  0|  616| 668232|RI   |
|  1|  0|  616| 668232|RI   |
|  1|  0|  616| 668232|RI   |
|  1|  0|  634|1200498|ME   |
|  1|  0|  634|1200498|ME   |
|  1|  0|  634|1200498|ME   |
|  1|  0|  759|2128332|CT   |
|  1|  0|  759|2128332|CT   |
|  1|  0|  759|2128332|CT   |
|  1|  0|  827| 503095|SD   |
|  1|  0|  827| 503095|SD   |
|  1|  0|  827| 503095|SD   |
|  1|  0|  881| 655775|MT   |
|  1|  0|  881| 655775|MT   |
|  1|  0|  881| 655775|MT   |
|  1|  0|  949| 824847|ID   |
|  1|  0|  949| 824847|ID   |
|  1|  0|  949| 824847|ID   |
|  1|  0| 1004|2170636|OR   |
|  1|  0| 1004|2170636|OR   |
|  1|  0| 1004|2170636|OR   |
|  1|  0| 1495|1061525|NM   |
|  1|  0| 1495|1061525|NM   |
|  1|  0| 1495|1061525|NM   |
|  1|  0| 1717|1169992|NE   |
|  1|  0| 1717|1169992|NE   |
|  1|  0| 1717|1169992|NE   |
|  1|  0| 1787|3105370|MD   |
|  1|  0| 1787|3105370|MD   |
|  1|  0| 1787|3105370|MD   |
|  1|  0| 1802| 963118|NV   |
|  1|  0| 1802| 963118|NV   |
|  1|  0| 1802| 963118|NV   |
|  1|  0| 1802| 963118|NV   |
|  1|  0| 1913|1509425|UT   |
|  1|  0| 1913|1509425|UT   |
|  1|  0| 1913|1509425|UT   |
|  1|  0| 1913|1509425|UT   |
|  1|  0| 1965|1278694|WV   |
|  1|  0| 1965|1278694|WV   |
|  1|  0| 1965|1278694|WV   |
|  1|  0| 2063|2256745|SC   |
|  1|  0| 2063|2256745|SC   |
|  1|  0| 2063|2256745|SC   |
|  1|  0| 2079|1973867|IA   |
|  1|  0| 2079|1973867|IA   |
|  1|  0| 2079|1973867|IA   |
|  1|  0| 2108|2992920|AZ   |
|  1|  0| 2108|2992920|AZ   |
|  1|  0| 2108|2992920|AZ   |
|  1|  0| 2108|2992920|AZ   |
|  1|  0| 2131|1922001|MS   |
|  1|  0| 2131|1922001|MS   |
|  1|  0| 2131|1922001|MS   |
|  1|  0| 2165|4137257|MA   |
|  1|  0| 2165|4137257|MA   |
|  1|  0| 2165|4137257|MA   |
|  1|  0| 2244|2139717|OK   |
|  1|  0| 2244|2139717|OK   |
|  1|  0| 2244|2139717|OK   |
|  1|  0| 2345|4562032|VA   |
|  1|  0| 2345|4562032|VA   |
|  1|  0| 2345|4562032|VA   |
|  1|  0| 2364|3745972|TN   |
|  1|  0| 2364|3745972|TN   |
|  1|  0| 2364|3745972|TN   |
|  1|  0| 2577|2861090|AL   |
|  1|  0| 2577|2861090|AL   |
|  1|  0| 2577|2861090|AL   |
|  1|  0| 2599|1403403|AR   |
|  1|  0| 2599|1403403|AR   |
|  1|  0| 2599|1403403|AR   |
|  1|  0| 2769|5480079|NC   |
|  1|  0| 2769|5480079|NC   |
|  1|  0| 2769|5480079|NC   |
|  1|  0| 3086|3106985|CO   |
|  1|  0| 3086|3106985|CO   |
|  1|  0| 3086|3106985|CO   |
|  1|  0| 3146|4379914|GA   |
|  1|  0| 3146|4379914|GA   |
|  1|  0| 3146|4379914|GA   |
|  1|  0| 3146|4379914|GA   |
|  1|  0| 3271|1694818|KS   |
|  1|  0| 3271|1694818|KS   |
|  1|  0| 3271|1694818|KS   |
|  1|  0| 3271|1694818|KS   |
|  1|  0| 3482|2818973|KY   |
|  1|  0| 3482|2818973|KY   |
|  1|  0| 3482|2818973|KY   |
|  1|  0| 3540|2735661|WI   |
|  1|  0| 3540|2735661|WI   |
|  1|  0| 3540|2735661|WI   |
|  1|  0| 3943|4206423|MO   |
|  1|  0| 3943|4206423|MO   |
|  1|  0| 3943|4206423|MO   |
|  1|  0| 3943|4206423|MO   |
|  1|  0| 4108|3225135|MN   |
|  1|  0| 4108|3225135|MN   |
|  1|  0| 4108|3225135|MN   |
|  1|  0| 4108|3225135|MN   |
|  1|  0| 4124|2901565|LA   |
|  1|  0| 4124|2901565|LA   |
|  1|  0| 4124|2901565|LA   |
|  1|  0| 4124|2901565|LA   |
|  1|  0| 5424|4323636|IN   |
|  1|  0| 5424|4323636|IN   |
|  1|  0| 5424|4323636|IN   |
|  1|  0| 5806|7166615|MI   |
|  1|  0| 5806|7166615|MI   |
|  1|  0| 5806|7166615|MI   |
|  1|  0| 6285|5010993|NJ   |
|  1|  0| 6285|5010993|NJ   |
|  1|  0| 6285|5010993|NJ   |
|  1|  0| 6686|3660701|WA   |
|  1|  0| 6686|3660701|WA   |
|  1|  0| 6686|3660701|WA   |
|  1|  0| 6686|3660701|WA   |
|  1|  0| 7241|   10301259|FL   |
|  1|  0| 7241|   10301259|FL   |
|  1|  0| 7241|   10301259|FL   |
|  1|  0| 7241|   10301259|FL   |
|  1|  0| 8806|   11012038|TX   |
|  1|  0| 8806|   11012038|TX   |
|  1|  0| 8806|   11012038|TX   |
|  1|  0| 8806|   11012038|TX   |
|  1|  0| 9425|8933268|PA   |
|  1|  0| 9425|8933268|PA   |
|  1|  0| 9425|8933268|PA   |
|  1|  0|11477|8151098|OH   |
|  1|  0|11477|8151098|OH   |
|  1|  0|11477|8151098|OH   |
|  1|  0|11477|8151098|OH   |
|  1|  0|11740|7656050|IL   |
|  1|  0|11740|7656050|IL   |
|  1|  0|11740|7656050|IL   |
|  1|  0|11740|7656050|IL   |
|  1|  0|16279|   13334784|NY   |
|  1|  0|16279|   13334784|NY   |
|  1|  0|16279|   13334784|NY   |
|  1|  0|16279|   13334784|NY   |
|  1|  0|24035|   15723097|CA   |
|  1|  0|24035|   15723097|CA   |
|  1|  0|24035|   15723097|CA   |
|  1|  0|24035|   15723097|CA   |
|   1001|  0|   22|  30145|AL   |
|   1001|  0|   22|  30145|AL   |
|   1001|  0|   22|  30145|AL   |
|   1002|  0|   50|  98302|AL   |
|   1002|  0|   50|  98302|AL   |
|   1002|  0|   50|  98302|AL   |
|   1003|  0|   24|  17276|AL   |
|   1003|  0|   24|  17276|AL   |
|   1003|  0|   24|  17276|AL   |
|   1004|  0|   16|  12368|AL   |
|   1004|  0|   16|  12368|AL   |
|   1004|  0|   16|  12368|AL   |
|   1005|  0|   26|  28809|AL   |
|   1005|  0|   26|  28809|AL   |
|   1005|  0|   26|  28809|AL   |
|   1006|  0|   27|   7502|AL   |
|   1006|  0|   27|   7502|AL   |
|   1006|  0|   27|   7502|AL   |
|   1007|  0|   27|  14240|AL   |
|   1007|  0|   27|  14240|AL   |
|   1007|  0|   27|  14240|AL   |
|   1008|  0|   53|  75759|AL   |
|   1008|  0|   53|  75759|AL   |
|   1008|  0|   53|  75759|AL   |
|   1009|  0|   24|  23237|AL   |
|   1009|  0|   24|  23237|AL   |
|   1009|  0|   24|  23237|AL   |
|   1010|  0|   32|  15228|AL   |
|   1010|  0|   32|  15228|AL   |
|   1010|  0|   32|  15228|AL   |
|   1011|  0|   19|  25047|AL   |
|   1011|  0|   19|  25047|AL   |
|   1011|  0|   19|  25047|AL   |
|   1012|  0|   33|  11508|AL   |
|   1012|  0|   33|  11508|AL   |
|   1012|  0|   33|  11508|AL   |
|   1013|  0|   30|  17598|AL   |
|   1013|  0|   30|  17598|AL   |
|   1013|  0|   30|  17598|AL   |
|   1014|  0|   24|  10088|AL   |
