STATE,Total Seats,,Total Senate,Senate Dem.,Senate Rep.,Senate other,,Total House,House Dem.,House Rep.,House other,,Legis. Control,,Gov. Party,State Control, 
Alabama,140,,35,12,22,1,,105,43,62,0,,Rep,,Rep,Rep, 
Alaska,60,,20,10,10,0,,40,16,24,0,,Split,,Rep,Split, 
Arizona,90,,30,9,21,0,,60,20,40,0,,Rep,,Rep,Rep, 
Arkansas,135,,35,22,13,0,,100,55,45,0,,Dem,,Dem,Dem, 
California,120,,40,25,14,1u,,80,52,28,0,,Dem,,Dem,Dem, 
Colorado,100,,35,20,15,0,,65,32,33,0,,Split,,Dem,Split, 
Connecticut,187,,36,23,13,0,,151,100,51,0,,Dem,,Dem,Dem, 
Delaware,62,,21,14,7,0,,41,26,15,0,,Dem,,Dem,Dem, 
Florida,160,,40,12,28,0,,120,39,81,0,,Rep,,Rep,Rep, 
Georgia,236,,56,21,35,0,,180,71,108,1,,Rep,,Rep,Rep, 
Hawaii,76,,25,24,1,0,,51,42,8,1u,,Dem,,Dem,Dem, 
Idaho,105,,35,7,28,0,,70,13,57,0,,Rep,,Rep,Rep, 
Illinois,177,,59,35,24,0,,118,64,54,0,,Dem,,Dem,Dem, 
Indiana,150,,50,13,37,0,,100,41,59,0,,Rep,,Rep,Rep, 
Iowa,150,,50,26,24,0,,100,40,60,0,,Split,,Rep,Split, 
Kansas,165,,40,9,31,0,,125,33,92,0,,Rep,,Rep,Rep, 
Kentucky,138,,38,15,22,1,,100,58,42,0,,Split,,Dem,Split, 
Louisiana,144,,39,23,16,0,,105,51,50,4,,Dem,,Rep,Split, 
Maine,186,,35,14,20,1,,151,73,77,1,,Rep,,Rep,Rep, 
Maryland,188,,47,35,12,0,,141,98,43,0,,Dem,,Dem,Dem, 
Massachusetts,200,,40,36,4,0,,160,127,27,6u,,Dem,,Dem,Dem, 
Michigan,148,,38,11,27,0,,110,47,63,0,,Rep,,Rep,Rep, 
Minnesota,201,,67,30,37,0,,134,62,72,0,,Rep,,Dem,Split, 
Mississippi,174,,52,27,25,0,,122,72,50,0,,Dem,,Rep,Split, 
Missouri,197,,34,8,26,0,,163,57,106,0,,Rep,,Dem,Split, 
Montana,150,,50,22,28,0,,100,32,68,0,,Rep,,Dem,Split, 
Nebraska,49,,49,,,49,,Unicameral,,,,,N/A,,Rep,N/A, 
Nevada,63,,21,11,10,0,,42,26,16,0,,Dem,,Rep,Split, 
New Hampshire,424,,24,5,19,0,,400,102,298,0,,Rep,,Dem,Split, 
New Jersey,120,,40,23,17,0,,80,47,33,0,,Dem,,Rep,Split, 
New Mexico,112,,42,27,15,0,,70,37,33,0,,Dem,,Rep,Split, 
New York,212,,62,29,30,3u,,150,100,48,2u,,Pending,,Dem,Pending, 
North Carolina,170,,50,19,31,0,,120,52,67,1,,Rep,,Dem,Split, 
North Dakota,141,,47,12,35,0,,94,25,69,0,,Rep,,Rep,Rep, 
Ohio,132,,33,10,23,0,,99,40,59,0,,Rep,,Rep,Rep, 
Oklahoma,149,,48,16,32,0,,101,31,70,0,,Rep,,Rep,Rep, 
Oregon,90,,30,15,13,2u,,60,30,30,0,,Pending,,Dem,Pending, 
Pennsylvania,253,,50,21,29,0,,203,91,112,0,,Rep,,Rep,Rep, 
Rhode Island,113,,38,29,8,1,,75,65,10,0,,Dem,,Ind,Split, 
South Carolina,170,,46,19,27,0,,124,48,75,1v,,Rep,,Rep,Rep, 
South Dakota,105,,35,6,29,0,,70,19,50,1,,Rep,,Rep,Rep, 
Tennessee,132,,33,13,20,0,,99,34,64,1,,Rep,,Rep,Rep, 
Texas,181,,31,12,19,0,,150,51,99,0,,Rep,,Rep,Rep, 
Utah,104,,29,7,22,0,,75,17,58,0,,Rep,,Rep,Rep, 
Vermont,180,,30,22,8,0,,150,92,48,"8 , 2u",,Dem,,Dem,Dem, 
Virginia,140,,40,22,18,0,,100,39,59,2,,Split,,Rep,Split, 
Washington,147,,49,24,22,3u,,98,55,42,0,,Pending,,Dem,Pending, 
West Virginia,134,,34,28,6,0,,100,65,35,0,,Dem,,Dem,Dem, 
Wisconsin,132,,33,14,19,0,,99,38,60,1,,Rep,,Rep,Rep, 
Wyoming,90,,30,4,26,0,,60,10,50,0,,Rep,,Rep,Rep, 
Total,7382,,1971,891,1018,"52, 9u ",,5411,2478,2900,"19, 1v, 12u",,"25R, 16D, 5S, 3P",,"29R, 20D, 1I","20R, 10D, 16S, 3U", 
