| polra_number|pol_first_name  |pol_middle_name |pol_last_name   |pol_abbrv   |pol_junior|polra_party|ra_number  |pol_nat_id |polra_in_order|pol_number |st_postal|
|3852|Spencer ||Bachus  |Bachus  |  |GOP|   1377|526| 1|   1020|AL   |
|3706|Robert  ||Aderholt|Aderholt|  |GOP|   1011|523| 1|   1200|AL   |
|3705|Mike||Rogers  |Rogers  |  |GOP|   1375|   1161| 2|   1222|AL   |
|5817|Don ||Young   |Young   |  |GOP|   2015|513| 2|   2007|AK   |
|3867|Robert  ||Bentley |Bentley |  |GOP|   1019|  52867| 2|   2024|AL   |
|3704|Jo  ||Bonner  |Bonner  |  |GOP|   1005|   1004| 1|   2234|AL   |
|3865|Ron ||Sparks  |Sparks  |  |Dem|   1019|   4080| 1|   2267|AL   |
|3758|Bobby   ||Bright  |Bright  |  |Dem|   1374|  59445| 1|   2751|AL   |
|3876|Richard ||Shelby  |Shelby  |  |GOP|   1683|   1702| 2|   2843|AL   |
|3880|Martha  ||Roby|Roby|  |GOP|   1374|  60628| 2|   2847|AL   |
|3887|Mo  ||Brooks  |Brooks  |  |GOP|   1376|  60629| 2|   2848|AL   |
|3900|Don ||Chamberlain |Chmbrln |  |GOP|   1378|   3198| 2|   2851|AL   |
|3882|Steve   ||Segrest |Segrest |  |Dem|   1375|   4019| 1|   3021|AL   |
|3886|Steve   ||Raby|Raby|  |Dem|   1376|  60637| 1|   3024|AL   |
|3893|Terri   ||Sewell  |Sewell  |  |Dem|   1378|  60639| 1|   3028|AL   |
|3874|William ||Barnes  |Barnes  |  |Dem|   1683|  60557| 1|   3030|AL   |
|4232|David   ||Walter  |Walter  |  |CST|   1005|  61158| 2|   3141|AL   |
|5878|Ethan   ||Berkowitz   |Berkwtz |  |Dem|   2010|  52025| 1|   3309|AK   |
|5875|Harry   ||Crawford|Crawfrd |  |Dem|   2015|  52020| 1|   3588|AK   |
|8279|John||McCain  |McCain  |  |GOP|   3002|   1701| 2|   3728|AZ   |
|8442|Ed  ||Pastor  |Pastor  |  |Dem|   3010|   1124| 1|   3736|AZ   |
|8332|Jan ||Brewer  |Brewer  |  |GOP|   3014|   4627| 2|   3795|AZ   |
|5969|Joe ||Miller  |Miller  |  |GOP|   2933|  61157| 5|   3811|AK   |
|5971|Billy   ||Toien   |Toien   |  |Lib|   2010|931| 3|   3886|AK   |
|5970|Don ||Wright  |Wright  |  |AKI|   2010|   1174| 4|   3887|AK   |
|5885|Sean||Parnell |Parnell |  |GOP|   2010|   4434| 2|   3891|AK   |
|5972|David   ||Haase   |Haase   |  |Lib|   2933|  59900| 3|   3996|AK   |
|8629|||Yes |Yes |  |Yes|   4153|  2| 1|   4005|AZ   |
|8632|||Yes |Yes |  |Yes|   4154|  2| 1|   4005|AZ   |
|8634|||Yes |Yes |  |Yes|   4155|  2| 1|   4005|AZ   |
|8642|||Yes |Yes |  |Yes|   4159|  2| 1|   4005|AZ   |
|8644|||Yes |Yes |  |Yes|   4160|  2| 1|   4005|AZ   |
|8630|||No  |No  |  |No |   4153|  3| 2|   4007|AZ   |
|8631|||No  |No  |  |No |   4154|  3| 2|   4007|AZ   |
|8633|||No  |No  |  |No |   4155|  3| 2|   4007|AZ   |
|8641|||No  |No  |  |No |   4159|  3| 2|   4007|AZ   |
|8643|||No  |No  |  |No |   4160|  3| 2|   4007|AZ   |
|8169|Trent   ||Franks  |Franks  |  |GOP|   3006|   1121| 2|   4042|AZ   |
|8327|Terry   ||Goddard |Goddard |  |Dem|   3014|   4875| 1|   4053|AZ   |
|5872|Scott   ||McAdams |McAdams |  |Dem|   2933|  61042| 4|   4068|AK   |
|5984|Tim ||Carter  |Carter  |  |NPD|   2933|  61250| 1|   4123|AK   |
|5985|Ted ||Gianoutsos  |Gianotss|  |NPD|   2933|  51351| 2|   4124|AK   |
|6005|||Total Write-In  |TtlWrt- |  |NPD|   2933| 100008| 6|   4129|AK   |
|8228|Harry   ||Mitchell|Mitchell|  |Dem|   3012|  52516| 1|   4145|AZ   |
|8268|Raul||Grijalva|Grijalva|  |Dem|   3920|   1131| 1|   4343|AZ   |
|8225|Jeff||Flake   |Flake   |  |GOP|   3544|   1129| 2|   4467|AZ   |
|8269|Gabrielle   ||Giffords|Giffords|  |Dem|   3924|  52527| 1|   4552|AZ   |
|8652|Powell  ||Gammill |Gammill |  |Lib|   3006|  51356| 3|   4882|AZ   |
|8226|Ann ||Kirkpatrick |Krkptrck|  |Dem|   3004|  59526| 1|   4937|AZ   |
|8654|Leonard ||Clark   |Clark   |  |Grn|   3008|   4703| 3|   4963|AZ   |
|   17298|Dan ||Lungren |Lungren |  |GOP|   5693|   7721| 2|   5026|CA   |
|   17234|Brad||Sherman |Sherman |  |Dem|   5717| 84| 1|   5036|CA   |
|8312|David   ||Schweikert  |Schwekrt|  |GOP|   3012|   5397| 2|   5039|AZ   |
