| ra_number  |of_number  |se_number  |race_id|office_id|ra_num_winners|rt_number  |rt_party_name|of_description  |ot_number  |ot_name |se_name |of_scope|race_order |el_date |ra_uncontested|ra_tabulate|st_postal|ra_national_b|
|  2|  4|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |260|20101102| 0|  1|WA   |1|
|  3|  29000|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |370|20101102| 0|  1|NV   |1|
|  4|  1|  9|G  |H| 1|  7| ||  3|U.S. House  |District 9  |L   |520|20101102| 0|  1|WA   |1|
|  4|  29001|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |380|20101102| 0|  1|NV   |1|
|   1005|   1003|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |370|20101102| 0|  1|AL   |1|
|   1011|   1006|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |500|20101102| 1|  0|AL   |1|
|   1019|   1010|  0|G  |G| 1|  7| ||  4|Governor||S   |360|20101102| 0|  1|AL   |1|
|   1374|   1004|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |420|20101102| 0|  1|AL   |1|
|   1375|   1005|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |450|20101102| 0|  1|AL   |1|
|   1376|   1007|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |550|20101102| 0|  1|AL   |1|
|   1377|   1008|  6|G  |H| 1|  7| ||  3|U.S. House  |District 6  |L   |580|20101102| 1|  0|AL   |1|
|   1378|   1009|  7|G  |H| 1|  7| ||  3|U.S. House  |District 7  |L   |620|20101102| 0|  1|AL   |1|
|   1683|   1002|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |210|20101102| 0|  1|AL   |1|
|   2010|   2003|  0|G  |G| 1|  7| ||  4|Governor||S   |330|20101102| 0|  1|AK   |1|
|   2015|   2002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |S   |170|20101102| 0|  1|AK   |1|
|   2933|   2226|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |120|20101102| 0|  1|AK   |1|
|   3002|   3001|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |140|20101102| 0|  1|AZ   |1|
|   3004|   3002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |230|20101102| 0|  1|AZ   |1|
|   3006|   3003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |270|20101102| 0|  1|AZ   |1|
|   3008|   3004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |340|20101102| 0|  1|AZ   |1|
|   3010|   3005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |380|20101102| 0|  1|AZ   |1|
|   3012|   3006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |420|20101102| 0|  1|AZ   |1|
|   3014|   3007|  0|G  |G| 1|  7| ||  4|Governor||S   |680|20101102| 0|  1|AZ   |1|
|   3544|   3313|  6|G  |H| 1|  7| ||  3|U.S. House  |District 6  |L   |490|20101102| 0|  1|AZ   |1|
|   3920|   3437|  7|G  |H| 1|  7| ||  3|U.S. House  |District 7  |L   |500|20101102| 0|  1|AZ   |1|
|   3924|   3438|  8|G  |H| 1|  7| ||  3|U.S. House  |District 8  |L   |510|20101102| 0|  1|AZ   |1|
|   4153|   3522|  1|G  |I| 1| 13| |Freedom to choose   | 41|Proposition |106 - Health Care   |S   |921|20101102| 0|  1|AZ   |1|
|   4154|   3523|  2|G  |I| 1| 13| |Preferential treatment  | 41|Proposition |107 - Preferential Treatment|S   |922|20101102| 0|  1|AZ   |1|
|   4155|   3524|  3|G  |I| 1| 13| |Hunting and fishing | 41|Proposition |109 - Hunting and Fishing   |S   |923|20101102| 0|  1|AZ   |1|
