| ru_number  |ru_parent  |ru_name |ru_abbrv  |ru_type|rut_name|ru_fip|ru_precincts|ru_reg_voters|st_postal|
|  1|  0|District of Columbia|DC|S  |State   |00000 | 143|   444786|DC   |
|  1|  0|Hawaii  |HI|S  |State   |00000 | 242|   690748|HI   |
|  1|  0|Vermont |VT|S  |State   |00000 | 260|   448194|VT   |
|  1|  0|New Hampshire   |NH|S  |State   |00000 | 301|  1005969|NH   |
|  1|  0|Delaware|DE|S  |State   |00000 | 436|   622566|DE   |
|  1|  0|Alaska  |AK|S  |State   |00000 | 438|   489960|AK   |
|  1|  0|Wyoming |WY|S  |State   |00000 | 486|   309854|WY   |
|  1|  0|North Dakota|ND|S  |State   |00000 | 505|   502873|ND   |
|  1|  0|Rhode Island|RI|S  |State   |00000 | 537|   700881|RI   |
|  1|  0|Maine   |ME|S  |State   |00000 | 596|  1196677|ME   |
|  1|  0|Connecticut |CT|S  |State   |00000 | 751|  2126974|CT   |
|  1|  0|South Dakota|SD|S  |State   |00000 | 791|   571228|SD   |
|  1|  0|Montana |MT|S  |State   |00000 | 793|   680800|MT   |
|  1|  0|Idaho   |ID|S  |State   |00000 | 961|   869885|ID   |
|  1|  0|Oregon  |ORE   |S  |State   |00000 |1000|  2068329|OR   |
|  1|  0|New Mexico  |NM|S  |State   |00000 |1457|  1139971|NM   |
|  1|  0|Nebraska|NE|S  |State   |00000 |1636|  1141579|NE   |
|  1|  0|Maryland|MD|S  |State   |00000 |1833|  3468285|MD   |
|  1|  0|Mississippi |MS|S  |State   |00000 |1871|  1790773|MS   |
|  1|  0|Iowa|IA|S  |State   |00000 |1873|  2240621|IA   |
|  1|  0|West Virginia   |WV|S  |State   |00000 |1883|  1221682|WV   |
|  1|  0|Nevada  |NV|S  |State   |00000 |2121|  1376961|NV   |
|  1|  0|South Carolina  |SC|S  |State   |00000 |2136|  2623890|SC   |
|  1|  0|Utah|UT|S  |State   |00000 |2148|  1530314|UT   |
|  1|  0|Massachusetts   |MA|S  |State   |00000 |2168|  4151336|MA   |
|  1|  0|Tennessee   |TN|S  |State   |00000 |2176|  3554871|TN   |
|  1|  0|Oklahoma|OK|S  |State   |00000 |2229|  2079680|OK   |
|  1|  0|Arizona |AZ|S  |State   |00000 |2239|  3102876|AZ   |
|  1|  0|Virginia|VA|S  |State   |00000 |2367|  5020417|VA   |
|  1|  0|Arkansas|AR|S  |State   |00000 |2406|  1638877|AR   |
|  1|  0|North Carolina  |NC|S  |State   |00000 |2763|  6169526|NC   |
|  1|  0|Alabama |AL|S  |State   |00000 |2811|  2944225|AL   |
|  1|  0|Georgia |GA|S  |State   |00000 |2902|  5015322|GA   |
|  1|  0|Colorado|CO|S  |State   |00000 |3246|  3282991|CO   |
|  1|  0|Kansas  |KS|S  |State   |00000 |3315|  1716862|KS   |
|  1|  0|Missouri|MO|S  |State   |00000 |3425|  4132329|MO   |
|  1|  0|Kentucky|KY|S  |State   |00000 |3578|  2885775|KY   |
|  1|  0|Wisconsin   |WI|S  |State   |00000 |3609|  3948601|WI   |
|  1|  0|Louisiana   |LA|S  |State   |00000 |3877|  2932337|LA   |
|  1|  0|Minnesota   |MN|S  |State   |00000 |4136|  3691845|MN   |
|  1|  0|Indiana |IND   |S  |State   |00000 |5265|  4329339|IN   |
|  1|  0|Michigan|MI|S  |State   |00000 |5333|  7276220|MI   |
|  1|  0|Washington  |WA|S  |State   |00000 |6000|  3589978|WA   |
|  1|  0|New Jersey  |NJ|S  |State   |00000 |6305|  5274093|NJ   |
|  1|  0|Florida |FL|S  |State   |00000 |6881| 11217384|FL   |
|  1|  0|Texas   |TX|S  |State   |00000 |8461| 13269370|TX   |
|  1|  0|Pennsylvania|PA|S  |State   |00000 |9241|  8534458|PA   |
|  1|  0|Ohio|OH|S  |State   |00000 |9910|  8046985|OH   |
|  1|  0|Illinois|IL|S  |State   |00000 |   11209|  8536786|IL   |
|  1|  0|New York|NY|S  |State   |00000 |   16310| 11787782|NY   |
|  1|  0|California  |CA|S  |State   |00000 |   24845| 16993075|CA   |
|   1001|  1|Autauga |Autauga   |C  |County  |01001 |  25|34430|AL   |
|   1002|  1|Baldwin |Baldwin   |C  |County  |01003 |  70|   114345|AL   |
|   1003|  1|Barbour |Barbour   |C  |County  |01005 |  21|16416|AL   |
|   1004|  1|Bibb|Bibb  |C  |County  |01007 |  10|12149|AL   |
|   1005|  1|Blount  |Blount|C  |County  |01009 |  27|31710|AL   |
|   1006|  1|Bullock |Bullock   |C  |County  |01011 |  18| 7576|AL   |
|   1007|  1|Butler  |Butler|C  |County  |01013 |  28|12872|AL   |
|   1008|  1|Calhoun |Calhoun   |C  |County  |01015 |  54|65701|AL   |
|   1009|  1|Chambers|Chambers  |C  |County  |01017 |  25|23091|AL   |
|   1010|  1|Cherokee|Cherokee  |C  |County  |01019 |  26|14336|AL   |
|   1011|  1|Chilton |Chilton   |C  |County  |01021 |  18|26396|AL   |
|   1012|  1|Choctaw |Choctaw   |C  |County  |01023 |  35|10744|AL   |
|   1013|  1|Clarke  |Clarke|C  |County  |01025 |  30|17993|AL   |
|   1014|  1|Clay|Clay  |C  |County  |01027 |  24|10045|AL   |
|   1015|  1|Cleburne|Cleburne  |C  |County  |01029 |  17| 9264|AL   |
|   1016|  1|Coffee  |Coffee|C  |County  |01031 |  33|29108|AL   |
|   1017|  1|Colbert |Colbert   |C  |County  |01033 |  37|35199|AL   |
|   1018|  1|Conecuh |Conecuh   |C  |County  |01035 |  28|10078|AL   |
|   1019|  1|Coosa   |Coosa |C  |County  |01037 |  14| 8172|AL   |
|   1020|  1|Covington   |Covington |C  |County  |01039 |  29|21414|AL   |
|   1021|  1|Crenshaw|Crenshaw  |C  |County  |01041 |  20| 9236|AL   |
|   1022|  1|Cullman |Cullman   |C  |County  |01043 |  52|49205|AL   |
|   1023|  1|Dale|Dale  |C  |County  |01045 |  23|29494|AL   |
|   1024|  1|Dallas  |Dallas|C  |County  |01047 |  32|31430|AL   |
|   1025|  1|DeKalb  |DeKalb|C  |County  |01049 |  51|36219|AL   |
|   1026|  1|Elmore  |Elmore|C  |County  |01051 |  33|43790|AL   |
|   1027|  1|Escambia|Escambia  |C  |County  |01053 |  34|21054|AL   |
|   1028|  1|Etowah  |Etowah|C  |County  |01055 |  58|62588|AL   |
|   1029|  1|Fayette |Fayette   |C  |County  |01057 |  29|11051|AL   |
|   1030|  1|Franklin|Franklin  |C  |County  |01059 |  25|21201|AL   |
|   1031|  1|Geneva  |Geneva|C  |County  |01061 |  28|15853|AL   |
|   1032|  1|Greene  |Greene|C  |County  |01063 |  16| 7685|AL   |
|   1033|  1|Hale|Hale  |C  |County  |01065 |  17|12138|AL   |
|   1034|  1|Henry   |Henry |C  |County  |01067 |  16|11561|AL   |
|   1035|  1|Houston |Houston   |C  |County  |01069 |  38|60891|AL   |
|   1036|  1|Jackson |Jackson   |C  |County  |01071 |  43|34080|AL   |
|   1037|  1|Jefferson   |Jefferson |C  |County  |01073 | 377|   412468|AL   |
|   1039|  1|Lamar   |Lamar |C  |County  |01075 |  27|10301|AL   |
|   1040|  1|Lauderdale  |Lauderdale|C  |County  |01077 |  39|51689|AL   |
|   1041|  1|Lawrence|Lawrence  |C  |County  |01079 |  31|23016|AL   |
|   1042|  1|Lee |Lee   |C  |County  |01081 |  35|86323|AL   |
|   1043|  1|Limestone   |Limestone |C  |County  |01083 |  34|44853|AL   |
|   1044|  1|Lowndes |Lowndes   |C  |County  |01085 |  15|10230|AL   |
|   1045|  1|Macon   |Macon |C  |County  |01087 |  19|17697|AL   |
|   1046|  1|Madison |Madison   |C  |County  |01089 |  94|   210579|AL   |
|   1047|  1|Marengo |Marengo   |C  |County  |01091 |  27|15293|AL   |
|   1048|  1|Marion  |Marion|C  |County  |01093 |  21|18892|AL   |
|   1049|  1|Marshall|Marshall  |C  |County  |01095 |  47|47451|AL   |
|   1050|  1|Mobile  |Mobile|C  |County  |01097 | 202|   259979|AL   |
|   1051|  1|Monroe  |Monroe|C  |County  |01099 |  34|15933|AL   |
|   1052|  1|Montgomery  |Montgomery|C  |County  |01101 | 121|   144585|AL   |
|   1053|  1|Morgan  |Morgan|C  |County  |01103 |  59|66163|AL   |
|   1054|  1|Perry   |Perry |C  |County  |01105 |  18| 8298|AL   |
|   1055|  1|Pickens |Pickens   |C  |County  |01107 |  27|13358|AL   |
|   1056|  1|Pike|Pike  |C  |County  |01109 |  29|19304|AL   |
|   1057|  1|Randolph|Randolph  |C  |County  |01111 |  26|15165|AL   |
|   1058|  1|Russell |Russell   |C  |County  |01113 |  17|30287|AL   |
|   1059|  1|St. Clair   |St. Clair |C  |County  |01115 |  37|54407|AL   |
|   1061|  1|Shelby  |Shelby|C  |County  |01117 |  76|   120406|AL   |
|   1062|  1|Sumter  |Sumter|C  |County  |01119 |  15|10130|AL   |
|   1063|  1|Talladega   |Talladega |C  |County  |01121 |  34|49036|AL   |
|   1064|  1|Tallapoosa  |Tallapoosa|C  |County  |01123 |  32|26090|AL   |
|   1065|  1|Tuscaloosa  |Tuscaloosa|C  |County  |01125 | 101|   110413|AL   |
|   1066|  1|Walker  |Walker|C  |County  |01127 |  46|44325|AL   |
|   1067|  1|Washington  |Washington|C  |County  |01129 |  36|13833|AL   |
|   1068|  1|Wilcox  |Wilcox|C  |County  |01131 |  29| 9108|AL   |
|   1069|  1|Winston |Winston   |C  |County  |01133 |  22|16098|AL   |
