| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|  1|  2|  695| 336196|WA   |
|  48017|  2|  251| 103483|WA   |
|  48018|  2|  123|  48652|WA   |
|  48031|  2|  321| 125394|WA   |
|  1|  3|  492| 239798|NV   |
|  29018|  3|  492| 238883|NV   |
|  1|  4|  586| 283422|WA   |
|  1|  4| 1029| 384451|NV   |
|  29001|  4|   26|  25574|NV   |
|  29002|  4|   19|  12726|NV   |
|  29004|  4|   41|  29789|NV   |
|  29005|  4|   41|  17941|NV   |
|  29006|  4|5|518|NV   |
|  29007|  4|4|916|NV   |
|  29008|  4|   15|   5947|NV   |
|  29009|  4|9|   2459|NV   |
|  29010|  4|5|   2570|NV   |
|  29011|  4|   40|  25534|NV   |
|  29012|  4|   12|   2883|NV   |
|  29013|  4|   33|  21688|NV   |
|  29014|  4|6|   2129|NV   |
|  29015|  4|   15|   2611|NV   |
|  29016|  4|  664| 212888|NV   |
|  29017|  4|   10|   4418|NV   |
|  29018|  4|   84|  26939|NV   |
|  48017|  4|  258| 106377|WA   |
|  48027|  4|  225|  86203|WA   |
|  48034|  4|  103|  38793|WA   |
|  1|   1005|  398| 371411|AL   |
|   1002|   1005|   70|  97556|AL   |
|   1013|   1005|   22|   8380|AL   |
|   1027|   1005|   34|  17877|AL   |
|   1050|   1005|  202| 221089|AL   |
|   1051|   1005|   34|  13600|AL   |
|   1067|   1005|   36|  11305|AL   |
|  1|   1019| 2811|2515336|AL   |
|   1001|   1019|   25|  29048|AL   |
|   1002|   1019|   70|  97556|AL   |
|   1003|   1019|   21|  14061|AL   |
|   1004|   1019|   10|  10356|AL   |
|   1005|   1019|   27|  28075|AL   |
|   1006|   1019|   18|   6494|AL   |
|   1007|   1019|   28|  11258|AL   |
|   1008|   1019|   54|  57534|AL   |
|   1009|   1019|   25|  18975|AL   |
|   1010|   1019|   26|  12061|AL   |
|   1011|   1019|   18|  22026|AL   |
|   1012|   1019|   35|   9305|AL   |
|   1013|   1019|   30|  15713|AL   |
|   1014|   1019|   24|   8435|AL   |
|   1015|   1019|   17|   7843|AL   |
|   1016|   1019|   33|  24536|AL   |
|   1017|   1019|   37|  29934|AL   |
|   1018|   1019|   28|   8537|AL   |
|   1019|   1019|   14|   6840|AL   |
|   1020|   1019|   29|  18612|AL   |
|   1021|   1019|   20|   7730|AL   |
|   1022|   1019|   52|  42271|AL   |
|   1023|   1019|   23|  24324|AL   |
|   1024|   1019|   32|  26051|AL   |
|   1025|   1019|   51|  30107|AL   |
|   1026|   1019|   33|  39067|AL   |
|   1027|   1019|   34|  17877|AL   |
|   1028|   1019|   58|  53554|AL   |
|   1029|   1019|   29|   9468|AL   |
|   1030|   1019|   25|  16454|AL   |
|   1031|   1019|   28|  13749|AL   |
|   1032|   1019|   16|   6519|AL   |
|   1033|   1019|   17|  10176|AL   |
|   1034|   1019|   16|  10111|AL   |
|   1035|   1019|   38|  51281|AL   |
|   1036|   1019|   43|  27450|AL   |
|   1037|   1019|  377| 365667|AL   |
|   1039|   1019|   27|   8702|AL   |
|   1040|   1019|   39|  44828|AL   |
|   1041|   1019|   31|  18873|AL   |
|   1042|   1019|   35|  70461|AL   |
|   1043|   1019|   34|  39175|AL   |
|   1044|   1019|   15|   8731|AL   |
|   1045|   1019|   19|  14239|AL   |
|   1046|   1019|   94| 181515|AL   |
|   1047|   1019|   27|  13419|AL   |
|   1048|   1019|   21|  15650|AL   |
|   1049|   1019|   47|  40369|AL   |
|   1050|   1019|  202| 221089|AL   |
|   1051|   1019|   34|  13600|AL   |
|   1052|   1019|  121| 124496|AL   |
|   1053|   1019|   59|  58467|AL   |
|   1054|   1019|   18|   7202|AL   |
|   1055|   1019|   27|  11667|AL   |
|   1056|   1019|   29|  16593|AL   |
|   1057|   1019|   26|  12753|AL   |
|   1058|   1019|   17|  24563|AL   |
|   1059|   1019|   37|  44248|AL   |
|   1061|   1019|   76| 105837|AL   |
|   1062|   1019|   15|   8561|AL   |
|   1063|   1019|   34|  41670|AL   |
|   1064|   1019|   32|  22761|AL   |
|   1065|   1019|  101|  94464|AL   |
|   1066|   1019|   46|  36495|AL   |
|   1067|   1019|   36|  11305|AL   |
|   1068|   1019|   29|   7788|AL   |
|   1069|   1019|   22|  13011|AL   |
|  1|   1374|  454| 349767|AL   |
|   1001|   1374|   25|  29048|AL   |
